,0
0,Arizona
1,Arkansas
2,Connecticut
3,Delaware
4,Georgia
5,Idaho
6,Illinois
7,Iowa
8,Kansas
9,Kentucky
10,Louisiana
11,Maine
12,Massachusetts
13,Minnesota
14,Mississippi
15,Missouri
16,Nebraska
17,New Hampshire
18,New Jersey
19,New Mexico
20,New York
21,Ohio
22,Oklahoma
23,Oregon
24,Pennsylvania
25,Rhode Island
26,Tennessee
27,Utah
28,Vermont
29,Virginia
30,West Virginia
31,Wisconsin
32,Wyoming
